duration,orig_bytes,resp_bytes,missed_bytes,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,proto_enc,service_enc,conn_state_enc,flag_syn,flag_rst,flag_fin,label
0.002616,94,297,0,6,414,4,513,1,1,1.0,1,0,1,0
0.011416,115,1742,0,7,487,7,2114,1,1,1.0,1,0,1,0
1.007011,188,2093,0,7,560,7,2465,1,1,1.0,1,0,1,0
1.029398,216,218,0,6,536,5,486,1,1,1.0,1,0,1,0
0.035268,99,702,0,7,471,6,1022,1,1,1.0,1,0,1,0
0.001108,1,0,0,1,52,1,52,1,0,0.0,0,0,0,0
0.001195,1,0,0,1,52,1,52,1,0,0.0,0,0,0,0
0.00074,1,0,0,1,52,1,52,1,0,0.0,0,0,0,0
0.000964,1,0,0,1,52,1,52,1,0,0.0,0,0,0,0
0.000389,1,0,0,1,52,1,52,1,0,0.0,0,0,0,0
0.001308,1,0,0,1,52,1,52,1,0,0.0,0,0,0,0
4.258621,280,280,0,5,420,5,420,3,0,0.0,0,0,0,0
0.001199,1,0,0,1,52,1,52,1,0,0.0,0,0,0,0
0.00116,1,0,0,1,52,1,52,1,0,0.0,0,0,0,0
1.005632,188,1964,0,7,560,7,2336,1,1,1.0,1,0,1,0
0.001064,1,0,0,1,52,1,52,1,0,0.0,0,0,0,0
0.011104,115,1746,0,7,487,7,2118,1,1,1.0,1,0,1,0
1.025286,216,218,0,6,536,5,486,1,1,1.0,1,0,1,0
0.001229,1,0,0,1,52,1,52,1,0,0.0,0,0,0,0
0.000551,1,0,0,1,52,1,52,1,0,0.0,0,0,0,0
0.000611,1,0,0,1,52,1,52,1,0,0.0,0,0,0,0
0.002,94,297,0,6,414,4,513,1,1,1.0,1,0,1,0
4.017221,280,280,0,5,420,5,420,3,0,0.0,0,0,0,0
0.004199,94,297,0,6,414,4,513,1,1,1.0,1,0,1,0
0.016109,115,1742,0,7,487,7,2114,1,1,1.0,1,0,1,0
1.017928,188,2063,0,6,508,7,2435,1,1,1.0,1,0,1,0
1.04334,243,215,0,6,563,5,483,1,1,1.0,1,0,1,0
0.000151,0,0,0,1,52,1,52,1,0,0.0,0,0,0,0
0.033353,99,702,0,7,471,6,1022,1,1,1.0,1,0,1,0
4.136584,46,4,0,10,598,5,272,1,0,1.0,1,0,1,0
2.4744,46,4,0,7,418,5,272,1,0,1.0,1,0,1,0
1.775668,45,4,0,7,417,6,324,1,0,1.0,1,0,1,0
2.119592,46,4,0,8,478,5,272,1,0,1.0,1,0,1,0
0.012264,112,1746,0,7,484,7,2118,1,1,1.0,1,0,1,0
0.004033,96,1705,0,6,416,7,2077,1,1,1.0,1,0,1,0
0.004694,161,639,0,6,481,6,959,1,1,1.0,1,0,1,0
0.004692,161,860,0,6,481,6,1180,1,1,1.0,1,0,1,0
0.004863,161,1048,0,7,533,6,1368,1,1,1.0,1,0,1,0
0.002015,94,297,0,6,414,4,513,1,1,1.0,1,0,1,0
0.012631,115,1746,0,7,487,7,2118,1,1,1.0,1,0,1,0
1.009014,188,2060,0,7,560,7,2432,1,1,1.0,1,0,1,0
1.030914,243,215,0,6,563,5,483,1,1,1.0,1,0,1,0
2.700292,46,4,0,7,418,6,324,1,0,1.0,1,0,1,0
0.0,0,0,0,7,418,5,272,1,0,1.0,1,0,1,0
0.852332,45,4,0,7,417,5,272,1,0,1.0,1,0,1,0
0.002021,94,297,0,6,414,4,513,1,1,1.0,1,0,1,0
0.012652,115,1746,0,7,487,7,2118,1,1,1.0,1,0,1,0
1.012177,188,2060,0,7,560,7,2432,1,1,1.0,1,0,1,0
1.033633,243,215,0,6,563,5,483,1,1,1.0,1,0,1,0
15.154111,46,4,0,7,418,6,324,1,0,1.0,1,0,1,0
0.008504,94,297,0,6,414,4,513,1,1,1.0,1,0,1,0
0.013561,115,1746,0,7,487,7,2118,1,1,1.0,1,0,1,0
1.006517,188,2063,0,6,508,7,2435,1,1,1.0,1,0,1,0
1.030539,243,215,0,6,563,5,483,1,1,1.0,1,0,1,0
5.071825,46,4,0,10,598,5,272,1,0,1.0,1,0,1,0
1.007668,188,2060,0,7,560,7,2432,1,1,1.0,1,0,1,0
0.014298,115,1746,0,7,487,7,2118,1,1,1.0,1,0,1,0
1.033113,243,215,0,6,563,5,483,1,1,1.0,1,0,1,0
0.002556,94,297,0,6,414,4,513,1,1,1.0,1,0,1,0
4.714476,46,4,0,7,426,4,220,1,0,0.0,1,0,1,0
27.895837,1,0,0,3,156,3,156,1,0,0.0,0,0,0,0
27.890111,1,0,0,3,156,3,156,1,0,0.0,0,0,0,0
27.891083,1,0,0,3,156,3,156,1,0,0.0,0,0,0,0
27.88903,1,0,0,3,156,3,156,1,0,0.0,0,0,0,0
27.891099,1,0,0,3,156,3,156,1,0,0.0,0,0,0,0
27.870817,1,0,0,3,156,3,156,1,0,0.0,0,0,0,0
27.87521,1,0,0,3,156,3,156,1,0,0.0,0,0,0,0
27.900585,1,0,0,3,156,3,156,1,0,0.0,0,0,0,0
27.899042,1,0,0,3,156,3,156,1,0,0.0,0,0,0,0
27.869005,1,0,0,3,156,3,156,1,0,0.0,0,0,0,0
